"","X","State","State_name","County","County_name","Tract","Block_Group","Tot_Population_ACS_08_12","Males_ACS_08_12","Females_ACS_08_12","Pop_25yrs_Over_ACS_08_12","Not_HS_Grad_ACS_08_12","College_ACS_08_12","Prs_Blw_Pov_Lev_ACS_08_12"
"237",525,31,"Nebraska",55,"Douglas County",6704,1,513,168,345,450,0,326,111
"238",526,31,"Nebraska",55,"Douglas County",6704,2,1085,523,562,784,4,633,37
"239",527,31,"Nebraska",55,"Douglas County",6803,1,742,357,385,673,25,262,6
"240",528,31,"Nebraska",55,"Douglas County",6803,2,1198,583,615,864,25,339,59
"241",529,31,"Nebraska",55,"Douglas County",6804,1,1527,718,809,1054,16,757,62
"242",530,31,"Nebraska",55,"Douglas County",6805,1,743,385,358,638,20,356,37
"243",531,31,"Nebraska",55,"Douglas County",6805,2,1160,615,545,738,12,422,25
"244",532,31,"Nebraska",55,"Douglas County",6805,3,587,251,336,400,6,283,4
"245",533,31,"Nebraska",55,"Douglas County",6805,4,839,413,426,573,20,246,169
"246",534,31,"Nebraska",55,"Douglas County",6806,1,794,347,447,571,5,396,12
"247",535,31,"Nebraska",55,"Douglas County",6806,2,1155,595,560,539,22,307,597
"248",536,31,"Nebraska",55,"Douglas County",6806,3,630,268,362,451,47,87,55
"249",537,31,"Nebraska",55,"Douglas County",6903,1,1068,496,572,724,12,385,9
"250",538,31,"Nebraska",55,"Douglas County",6903,2,1507,720,787,847,29,338,321
"251",539,31,"Nebraska",55,"Douglas County",6904,1,1459,714,745,834,0,510,0
"252",540,31,"Nebraska",55,"Douglas County",6904,2,839,496,343,695,11,319,14
"253",541,31,"Nebraska",55,"Douglas County",6904,3,708,337,371,509,24,159,29
"254",542,31,"Nebraska",55,"Douglas County",6904,4,877,471,406,563,39,256,98
"255",543,31,"Nebraska",55,"Douglas County",6905,1,839,463,376,644,11,187,153
"256",544,31,"Nebraska",55,"Douglas County",6905,2,981,530,451,600,47,164,35
"257",545,31,"Nebraska",55,"Douglas County",6906,1,1299,598,701,1010,115,306,126
"258",546,31,"Nebraska",55,"Douglas County",6906,2,867,424,443,608,35,260,50
"259",547,31,"Nebraska",55,"Douglas County",6906,3,1186,635,551,750,67,240,159
"260",548,31,"Nebraska",55,"Douglas County",7001,1,1383,554,829,798,79,345,328
"261",549,31,"Nebraska",55,"Douglas County",7001,2,1185,482,703,671,14,251,159
"262",550,31,"Nebraska",55,"Douglas County",7001,3,938,506,432,585,100,73,296
"263",551,31,"Nebraska",55,"Douglas County",7002,1,1044,480,564,764,94,247,106
"264",552,31,"Nebraska",55,"Douglas County",7002,2,915,432,483,735,112,228,130
"265",553,31,"Nebraska",55,"Douglas County",7002,3,807,317,490,611,17,129,28
"266",554,31,"Nebraska",55,"Douglas County",7002,4,535,257,278,422,78,98,67
"267",555,31,"Nebraska",55,"Douglas County",7003,1,1665,860,805,972,200,155,253
"268",556,31,"Nebraska",55,"Douglas County",7003,2,1009,504,505,670,79,73,49
"269",557,31,"Nebraska",55,"Douglas County",7101,1,1576,671,905,1033,118,168,201
"270",558,31,"Nebraska",55,"Douglas County",7101,2,1716,840,876,1183,261,123,252
"271",559,31,"Nebraska",55,"Douglas County",7102,1,815,365,450,607,150,107,9
"272",560,31,"Nebraska",55,"Douglas County",7102,2,1019,528,491,701,103,72,69
"273",561,31,"Nebraska",55,"Douglas County",7102,3,901,506,395,628,167,89,17
"274",562,31,"Nebraska",55,"Douglas County",7102,4,814,435,379,628,130,49,10
"275",563,31,"Nebraska",55,"Douglas County",7303,1,1074,530,544,933,68,304,121
"276",564,31,"Nebraska",55,"Douglas County",7303,2,645,289,356,518,47,209,16
"277",565,31,"Nebraska",55,"Douglas County",7303,3,1309,682,627,852,100,382,73
"278",566,31,"Nebraska",55,"Douglas County",7304,1,524,260,264,410,36,130,6
"279",567,31,"Nebraska",55,"Douglas County",7304,2,927,476,451,715,58,276,11
"280",568,31,"Nebraska",55,"Douglas County",7309,1,899,446,453,638,10,29,184
"281",569,31,"Nebraska",55,"Douglas County",7309,2,1446,733,713,818,7,408,206
"282",570,31,"Nebraska",55,"Douglas County",7309,3,1588,745,843,1159,19,535,49
"283",571,31,"Nebraska",55,"Douglas County",7310,1,649,279,370,445,32,141,76
"284",572,31,"Nebraska",55,"Douglas County",7310,2,962,487,475,603,0,326,0
"285",573,31,"Nebraska",55,"Douglas County",7310,3,1188,551,637,851,6,332,46
